id,lens,kind,lat,lng
1008873540,35,03,39.951840000000004,116.379745
1008873550,4,03,39.95201,116.37967499999999
1008877151,37,06,39.96129,116.44512499999999
1008877161,54,06,39.96160999999999,116.44547
1009092041,19,04,39.93374,116.42877
1009094380,18,03,39.94881,116.39748
1009094390,52,03,39.948814999999996,116.397895
1009094410,26,03,39.94881,116.39721499999999
1009094630,18,03,39.948814999999996,116.39564
1009094640,112,03,39.94881,116.396405
101024050,354,01,39.94663,116.21356
101024060,35,01,39.94503,116.21262999999999
101024230,8,01,39.96508685,116.3547533
101024260,3,01,39.96513645,116.3547479
101024270,193,01,39.96601875,116.3547009
101024441,41,01,39.919290000000004,116.21186
1012482721,59,06,39.90826475,116.40663975000001
1012482730,59,06,39.90826,116.4068
1012482741,35,06,39.908685,116.40668
1012482750,34,06,39.908685,116.40682
1012482761,8,06,39.908879999999996,116.40669
1012482770,8,06,39.908879999999996,116.40683
1012482790,81,06,39.909285,116.40684
1012482810,13,06,39.909710000000004,116.40685500000001
1012482841,50,06,39.91079,116.406745
1012482850,50,06,39.91079,116.406885
1012482881,3,06,39.911665,116.40675
1012482890,3,06,39.911665,116.40689
1012482901,41,06,39.91186055,116.4067791
1012482910,41,06,39.91186055,116.40685385
1012482970,28,06,39.911145000000005,116.40689499999999
1012482980,41,06,39.911460000000005,116.40689499999999
1012482991,27,06,39.91114,116.406755
1012483011,21,03,39.90798975,116.40648475
1012483021,14,03,39.90799475,116.40669975
1012958280,64,03,39.89724,116.32408000000001
1012958290,23,03,39.89724,116.323565
1012958300,70,03,39.896845,116.31849
1012958310,12,03,39.89685,116.31897000000001
1013243100,19,01,39.988295,116.404995
1013243110,48,01,39.988305,116.4054
1022992730,21,04,39.98482,116.31651
1022992740,10,04,39.984970000000004,116.316495
1023000220,37,01,39.969000199999996,116.41456274999999
1023000230,90,01,39.969025,116.41531499999999
1027898120,52,01,39.8735,116.444435
1027898130,111,01,39.87421995,116.44460905
1027902341,20,04,39.889375,116.38393500000001
1027902351,90,04,39.889360499999995,116.3832793
1027902870,10,06,39.900189999999995,116.47776
1027902891,90,06,39.899829999999994,116.47765
1029252421,90,06,39.83184525,116.3131892
1029252431,17,06,39.8313578,116.31321365
1034247780,27,03,39.897234350000005,116.32302225000001
1034247790,19,03,39.89723,116.32274000000001
1034250280,94,03,39.915665,116.27492000000001
1034250290,46,03,39.9163,116.275025
1034252210,19,03,39.89684185,116.31961580000001
1034252260,8,03,39.89682985,116.32292444999999
1034252270,4,03,39.8968301,116.32301065
1034252280,32,03,39.89725,116.31959
1034968650,8,06,40.008215,116.416755
1034968660,32,06,40.008395,116.416725
1045270070,14,00,39.583387450000004,116.39803739999999
1088589220,6,03,39.90728,116.35397499999999
1090189260,27,04,40.013946399999995,116.3521466
1090425741,21,03,39.9339222,116.35604319999999
1090425751,14,03,39.9337632,116.35604839999999
1090426201,8,06,39.94056500000001,116.35871
1090431020,544,00,39.967560000000006,116.46544499999999
1090431030,35,00,39.969530000000006,116.467665
1090446991,6,03,39.9319526,116.46142385
1090449401,48,06,39.95328,116.474075
1090450901,32,04,39.933170000000004,116.38729000000001
1090450911,50,04,39.93321,116.38824
1090450921,39,04,39.933189999999996,116.387715
1090451420,17,06,40.05546,116.30007499999999
1090451430,13,06,40.05539,116.299915
1090451741,17,06,40.05536,116.30013
1090451751,12,06,40.055295,116.29997499999999
1090541370,17,01,39.92895,116.31023
1090541380,20,01,39.929125,116.310235
1090588310,48,03,39.86524,116.458065
1090588320,52,03,39.865575,116.45847
1091378791,179,08,40.07948985,116.5920485
1102527021,46,06,40.020755,116.28293
1102527031,39,06,40.020430000000005,116.283185
1102527050,26,06,40.02032,116.28312
1102527060,21,01,40.015391,116.28685630000001
1102527070,16,01,40.0152272,116.28691185
1102530091,26,06,40.003965,116.41720000000001
1102530101,67,06,40.00438,116.41713
1106128430,90,03,39.94044935,116.35804350000001
1106128440,7,03,39.940455,116.35862
1106128481,37,01,39.96766,116.358385
1106128491,105,01,39.96766,116.35754
1106128501,152,01,39.9676196,116.3514855
1106128511,34,01,39.96759435,116.35039425
1106128720,34,04,39.932379999999995,116.36905999999999
1106128730,29,04,39.93239775,116.3694356
1106129640,4,06,39.92384,116.359815
1106525200,136,06,40.077875,116.591665
1106525210,64,06,40.07799,116.59282999999999
1106525250,108,06,40.0811957,116.59189595000001
1106525260,45,06,40.0809048,116.59109505
